ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
33089,E85,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.826171,-87.659383,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,10/15/2008,,,,false,"(41.826171, -87.659383)"
180625,ELEC,PEOPLES GAS CENTRAL EV2,4207 W 35th Pl Central Shop,,Chicago,IL,60646,,888-758-4389,T,12/09/2023,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.989265,-87.730213,12/13/2023,12/12/2023 06:38:23 PM +0000,,,,01/27/2021,,,,,"(41.989265, -87.730213)"
172397,ELEC,IRVINE  CO  OFC 71SW B2 02-03,71 S Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.880925,-87.636038,12/13/2023,12/12/2023 06:13:10 PM +0000,,,,01/27/2021,,,,,"(41.880925, -87.636038)"
205433,ELEC,Cityfront Place Parking Garage - Floor 2 Left,400 N. McClurg Court,Located on the 2nd floor of the parking garage on the south side of the elevators. This is the left charging station.,Chicago,IL,60611,,800-663-5633,T,12/20/2022,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8891899,-87.6181012,12/13/2023,12/12/2023 06:08:15 PM +0000,,,,12/22/2021,,,,,"(41.8891899, -87.6181012)"
201403,ELEC,DRAKE TOWER DRAKE 1,172 E Walton Pl,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.900228,-87.622669,12/13/2023,12/12/2023 06:54:18 PM +0000,,,,11/19/2021,,,,,"(41.900228, -87.622669)"
196870,ELEC,Paul Simon Chicago JCC,,,Chicago,IL,60623,,,E,,Private - Government only,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,3,,,,Non-Networked,,GPS,41.878114,-87.629798,10/12/2021,02/10/2022 03:00:18 PM +0000,FG,13,Department of Labor,09/21/2021,,,,,"(41.878114, -87.629798)"
173548,ELEC,UNITED ORD LOT UNITED 3,5600 Bessie Coleman Dr,,Chicago,IL,60666,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.981407,-87.888652,12/13/2023,12/12/2023 06:27:22 PM +0000,,,,01/27/2021,,,,,"(41.981407, -87.888652)"
147037,ELEC,SOLDIER FIELD STATION 02,1410 Museum Campus Dr,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.863703,-87.616745,12/13/2023,12/12/2023 06:35:06 PM +0000,,,,10/18/2019,,,,,"(41.863703, -87.616745)"
156609,ELEC,ENGLEWOOD STATION 1,6933 W 69th St,,Chicago,IL,60621,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.769096,-87.63568,12/13/2023,12/12/2023 06:35:52 PM +0000,,,,05/22/2020,,,,,"(41.769096, -87.63568)"
228130,ELEC,Whole Foods Market,1550 N Kingsbury St,,Chicago,IL,60642,,877-455-3833,E,,Public,Mon 8:00am - 10:00pm; Tue 8:00am - 10:00pm; Wed 8:00am - 10:00pm; Thu 8:00am - 10:00pm; Fri 8:00am - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,,,,2,1,,eVgo Network,https://www.evgo.com/,GPS,41.908771,-87.653054,12/12/2023,12/12/2023 05:56:10 PM +0000,,,,03/07/2018,,,,,"(41.908771, -87.653054)"
229279,ELEC,225 W WACKER 225 W WACKER,225 W Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.886307,-87.635075,12/13/2023,12/12/2023 07:00:53 PM +0000,,,,09/27/2022,,,,,"(41.886307, -87.635075)"
122296,ELEC,NEWCITY - Tesla Supercharger,1457 North Halstead Ave,,Chicago,IL,60610,,877-798-3752,E,,Public,24 hours daily,,,,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,41.908065,-87.646836,07/01/2023,07/14/2023 02:41:28 PM +0000,P,,,03/01/2019,,,,,"(41.908065, -87.646836)"
220479,ELEC,Cubs Blue Lot,1094 W Waveland,,Chicago,IL,60613,,800-663-5633,E,,Public,24 hours daily,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,41.949021,-87.6567262,12/12/2023,12/12/2023 05:58:57 PM +0000,,,,05/12/2022,,,,,"(41.949021, -87.6567262)"
151740,ELEC,The Maxwell,1100 S Canal St,,Chicago,IL,60607,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.8689103,-87.640039,12/13/2023,12/12/2023 07:28:55 PM +0000,,,,11/06/2015,,,,,"(41.8689103, -87.640039)"
164585,ELEC,OZINGA CHINA TOWN,2242 S Lumber St,,Chicago,IL,60616,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.851961,-87.64313,12/13/2023,12/12/2023 06:27:51 PM +0000,,,,07/28/2020,,,,,"(41.851961, -87.64313)"
202956,ELEC,INTERPARK 200 N CLARK 1,200 N Clark St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.885939,-87.631224,12/13/2023,12/12/2023 06:54:48 PM +0000,,,,12/23/2021,,,,,"(41.885939, -87.631224)"
171654,ELEC,3RD FLOOR GREENWAY-2,60 W Kinzie St,,Chicago,IL,60661,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.889364,-87.630365,12/13/2023,12/12/2023 06:09:36 PM +0000,,,,01/27/2021,,,,,"(41.889364, -87.630365)"
237628,ELEC,Target - Tesla Supercharger,4433  South Pulaski Road,,Chicago,IL,60632,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,41.813258,-87.72186,07/01/2023,07/14/2023 02:41:28 PM +0000,P,,,11/05/2022,,,,,"(41.813258, -87.72186)"
187497,E85,MCC Chicago,71 W Van Buren,Garage,Chicago,IL,60605,,,E,,Private,Fueling equipment located in a secure area with no public access,,,,,,,,,,,GPS,41.876579,-87.630456,06/12/2023,06/12/2023 11:56:16 AM +0000,FG,12,Department of Justice,01/15/2021,,,,false,"(41.876579, -87.630456)"
121323,ELEC,One Bennett Park,456 E Illinois St,P1 charger is Public.  P3 charger is ||Restricted in underground parking.||,Chicago,IL,60611,,888-998-2546,E,,Public,24 hours daily,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,41.891466,-87.616338,12/13/2023,12/12/2023 06:00:07 PM +0000,,,,04/11/2019,,,,,"(41.891466, -87.616338)"
163454,ELEC,PEOPLES GAS EV2,4341 W 35th Pl Logistics Support,,Chicago,IL,60646,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.989409,-87.730374,12/13/2023,12/12/2023 06:40:47 PM +0000,,,,06/18/2020,,,,,"(41.989409, -87.730374)"
151758,ELEC,Medical Campus Parking B,5656 S. Maryland Ave,,Chicago,IL,60637,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.79235655,-87.605923,12/13/2023,12/12/2023 07:28:42 PM +0000,,,,11/28/2016,,,,,"(41.79235655, -87.605923)"
224640,ELEC,ACADEMY STORE 5781,8331 S Stewart Ave,,Chicago,IL,60620,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.739758,-87.633519,12/13/2023,12/12/2023 06:54:53 PM +0000,,,,07/30/2022,,,,,"(41.739758, -87.633519)"
309027,ELEC,Optima Lakeview,3478 N Broadway,,Chicago,IL,60657,,888-998-2546,E,,Public,24 hours daily,,,,,,7,,,Blink Network,http://www.blinkcharging.com/,GPS,41.9450504,-87.6465576,12/12/2023,12/12/2023 05:59:42 PM +0000,,,,04/30/2021,,,,,"(41.9450504, -87.6465576)"
309393,ELEC,430205 : Eugenie Terrace on the Park - North Extension,1730 N Clark St,,Chicago,IL,60614,,888-998-2546,E,,Public,24 hours daily,,,,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,41.9137578,-87.633797,12/13/2023,12/12/2023 06:01:58 PM +0000,,,,09/02/2022,,,,,"(41.9137578, -87.633797)"
20844,E85,Citgo,4070 N Clark St,,Chicago,IL,60613,,773-528-3040,E,,Public,24 hours daily,A Cash D Debit M V Wright_Exp,,,,,,,,,,200-9,41.956159,-87.663596,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,08/15/2000,,,,false,"(41.956159, -87.663596)"
169013,ELEC,Parking Garage - 70 West Madison - Tesla Destination,11 N Clark St,,Chicago,IL,60602,,  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.882312,-87.630943,10/06/2022,01/18/2023 09:15:20 AM +0000,P,,,06/14/2018,,,,,"(41.882312, -87.630943)"
166724,ELEC,Edens Collection,4631 W Foster Ave,,Chicago,IL,60630,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.975078,-87.745385,12/13/2023,12/12/2023 07:27:43 PM +0000,,,,08/31/2020,,,,,"(41.975078, -87.745385)"
193491,ELEC,CHI PUB SCHOOLS BOGAN 1,7901 S Springfield Ave,,Chicago,IL,60652,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.749189,-87.718463,12/13/2023,12/12/2023 06:49:21 PM +0000,,,,08/05/2021,,,,,"(41.749189, -87.718463)"
197202,ELEC,WAYNE FUELING WAYNE FUELING,2301 S Lake Shore Dr,,Chicago,IL,60616,,888-758-4389,T,09/09/2022,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.852623,-87.61196,12/13/2023,12/12/2023 06:52:33 PM +0000,,,,10/07/2021,,,,,"(41.852623, -87.61196)"
309749,ELEC,4211 Ferdinand St,4211 West Ferdinand Street,,Chicago,IL,60624,,888-998-2546,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.88930296219866,-87.73111634859426,12/13/2023,12/12/2023 06:03:51 PM +0000,,,,07/20/2023,,,,,"(41.88930296219866, -87.73111634859426)"
230443,ELEC,Union West,939 W Washington Blvd,,Chicago,IL,60607,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,,,,3,,,AMPUP,https://ampup.io/,200-9,41.882764,-87.651188,10/11/2022,02/14/2023 09:54:11 AM +0000,P,,,09/15/2022,,,,,"(41.882764, -87.651188)"
235665,ELEC,6750 ENTRTANCE EAST,6750 W Grand Ave,,Chicago,IL,60707,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sun 12:00am - 12:00am,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.923867,-87.794421,12/13/2023,12/12/2023 07:02:52 PM +0000,,,,11/04/2022,,,,,"(41.923867, -87.794421)"
183626,ELEC,Walgreens #4978 West Loop,111 S. Halsted St.,,Chicago,IL,60661,,888-998-2546,T,03/02/2023,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.88005,-87.646719,12/13/2023,12/12/2023 06:06:20 PM +0000,,,,01/29/2021,,,,,"(41.88005, -87.646719)"
189751,ELEC,STERLING BAY GREEN STREET 4,333 N. Green St.,,Chicago,IL,60661,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.888024,-87.648346,12/13/2023,12/12/2023 06:38:38 PM +0000,,,,05/16/2021,,,,,"(41.888024, -87.648346)"
260297,ELEC,World Flight Services,838 Patton Drive,,Chicago,IL,60666,,888-998-2546,E,,Public,24 hours daily,,,,,,10,,,Blink Network,http://www.blinkcharging.com/,GPS,41.992820467980444,-87.8961504,12/13/2023,12/12/2023 06:05:38 PM +0000,,,,05/04/2023,,,,,"(41.992820467980444, -87.8961504)"
147820,ELEC,530207 : Aon Center Parking Garage,200 E. Randolph Street,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,6,,,Blink Network,http://www.blinkcharging.com/,GPS,41.884798,-87.6215123,12/13/2023,12/12/2023 06:01:12 PM +0000,,,,11/12/2015,,,,,"(41.884798, -87.6215123)"
260951,ELEC,300 E. Randolph Unit #4,300 E. Randolph,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8846651,-87.6199166,12/13/2023,12/12/2023 06:02:14 PM +0000,,,,12/28/2022,,,,,"(41.8846651, -87.6199166)"
33084,E85,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,,,,,,,,,200-9,41.710606,-87.623157,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,06/15/2008,,,,false,"(41.710606, -87.623157)"
310421,ELEC,Evo Union Park,1454 W Randolph St,,Chicago,IL,60607,,888-998-2546,E,,Public,24 hours daily,,,,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8849841,-87.6640729,12/13/2023,12/12/2023 06:08:19 PM +0000,,,,12/28/2021,,,,,"(41.8849841, -87.6640729)"
231010,ELEC,Calumet,328 E 43rd st,,Chicago,IL,60653,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,41.816823,-87.618607,12/13/2023,12/12/2023 07:25:18 PM +0000,,,,09/30/2022,,,,,"(41.816823, -87.618607)"
174126,ELEC,SP PLUS CORP MCCORMICK 1,2301 S Prairie Ave,,Chicago,IL,60616,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.851227,-87.620567,12/13/2023,12/12/2023 06:30:44 PM +0000,,,,01/27/2021,,,,,"(41.851227, -87.620567)"
236974,ELEC,The Admiral at the Lake,929 W Foster Ave,,Chicago,IL,60640,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.9760744,-87.6532576,12/12/2023,12/12/2023 05:59:24 PM +0000,,,,04/02/2018,,,,,"(41.9760744, -87.6532576)"
151747,ELEC,Government Center Self Park,181 North Clark,,Chicago,IL,60601,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.8856135,-87.63075645,12/13/2023,12/12/2023 07:29:00 PM +0000,,,,11/25/2015,,,,,"(41.8856135, -87.63075645)"
171741,ELEC,PARKING GARAGE P2 GW,111 S Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.880437,-87.636733,12/13/2023,12/12/2023 06:10:00 PM +0000,,,,01/27/2021,,,,,"(41.880437, -87.636733)"
180618,ELEC,PEOPLES GAS CENTRAL EV4,4207 W 35th Pl Central Shop,,Chicago,IL,60646,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.989217,-87.730352,12/13/2023,12/12/2023 06:38:15 PM +0000,,,,01/27/2021,,,,,"(41.989217, -87.730352)"
253298,ELEC,JNS / WAL IRVING PK 2,2301 W Irving Park Rd,,Chicago,IL,60618,,888-998-2546,T,11/19/2023,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.9537,-87.686411,12/13/2023,12/12/2023 06:02:48 PM +0000,,,,12/13/2022,,,,,"(41.9537, -87.686411)"
195926,ELEC,OMM GARAGE #1 ONE MAGNIFICENT,120 E Walton St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.9004,-87.624719,12/13/2023,12/12/2023 06:52:45 PM +0000,,,,09/15/2021,,,,,"(41.9004, -87.624719)"
306758,ELEC,TARGET T3871 STATION 2,5064 S Merrimac Ave,,Chicago,IL,60638,,888-758-4389,E,,Public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.813262,-87.72217,12/13/2023,12/12/2023 07:06:12 PM +0000,,,,08/11/2023,,,,,"(41.813262, -87.72217)"
198090,ELEC,155 N WACKER DR P1,155 N Upper Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.884913,-87.636437,12/13/2023,12/12/2023 06:53:27 PM +0000,,,,10/22/2021,,,,,"(41.884913, -87.636437)"
191563,ELEC,"BOA Logan Square IL4-313 (Chicago, IL)",3350 W Diversey Ave,,Chicago,IL,60647,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,41.9324,-87.71133,12/13/2023,12/12/2023 07:20:58 PM +0000,,,,06/28/2021,,,,,"(41.9324, -87.71133)"
185392,ELEC,MILLENNIUM GRGS MPG PILOT #3,5 S Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.882412,-87.621237,12/13/2023,12/12/2023 06:48:04 PM +0000,,,,02/26/2021,,,,,"(41.882412, -87.621237)"
262431,ELEC,5556 N Sheridan Road Condominium Association,5556 N Sheridan Road,,Chicago,IL,60640,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.983521,-87.6555955,12/13/2023,12/12/2023 06:03:02 PM +0000,,,,01/12/2023,,,,,"(41.983521, -87.6555955)"
322521,ELEC,NORTHWESTERN ERIE GARAGE 2,321 E Erie St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.893813,-87.619448,12/13/2023,12/12/2023 07:12:01 PM +0000,,,,12/12/2023,,,,,"(41.893813, -87.619448)"
172820,ELEC,MOMENT MOMENT 2,545 N McClurg Ct,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.892053,-87.617242,12/13/2023,12/12/2023 06:17:07 PM +0000,,,,01/27/2021,,,,,"(41.892053, -87.617242)"
36318,E85,City of Chicago FS#2,6445 N Ravenswood Ave,Devon and Ravenswood,Chicago,IL,60626,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.998997,-87.675032,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,11/15/2011,,,,false,"(41.998997, -87.675032)"
65015,ELEC,"CFP II, LLC 206",240 E Illinois St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.891113,-87.620957,12/13/2023,12/12/2023 06:12:07 PM +0000,,,,01/07/2015,,,,,"(41.891113, -87.620957)"
233234,ELEC,640 N LASALLE STATION #1,640 N La Salle St,,Chicago,IL,60654,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.893633,-87.6329,12/13/2023,12/12/2023 06:22:57 PM +0000,,,,10/11/2022,,,,,"(41.893633, -87.6329)"
60987,ELEC,Western Avenue Nissan,7410 S Western Ave,,Chicago,IL,60636,,773-776-8200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.758552,-87.683346,06/09/2020,03/11/2021 05:22:17 PM +0000,P,,,02/01/2014,,,,,"(41.758552, -87.683346)"
309296,ELEC,530210 : University of Chicago Booth School of Business - Harper Center,5807 South Woodlawn Avenue,,Chicago,IL,60637,,888-998-2546,E,,Public,24 hours daily,,,,,,7,,,Blink Network,http://www.blinkcharging.com/,GPS,41.7891387,-87.5954555,12/13/2023,12/12/2023 06:00:31 PM +0000,,,,10/27/2021,,,,,"(41.7891387, -87.5954555)"
151752,ELEC,Addison & Clark,3554 N Sheffield Ave,,Chicago,IL,60613,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.946911,-87.6548165,12/13/2023,12/12/2023 07:26:47 PM +0000,,,,09/14/2018,,,,,"(41.946911, -87.6548165)"
261690,ELEC,CHICAGO PARK HQ EV CHARGER #1,4830 S Western Ave,,Chicago,IL,60609,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.804881,-87.686415,12/13/2023,12/12/2023 07:04:20 PM +0000,,,,06/01/2023,,,,,"(41.804881, -87.686415)"
86219,ELEC,PARKING GARAGE GARAGE LEVEL 1,118 N Jefferson St,,Chicago,IL,60661,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.883868,-87.642736,12/13/2023,12/12/2023 06:16:32 PM +0000,,,,08/02/2017,,,,,"(41.883868, -87.642736)"
196358,ELEC,VOLVO VOLVO SRVCDRIVE,1924 N Paulina St,,Chicago,IL,60622,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.917159,-87.67056,12/13/2023,12/12/2023 06:51:18 PM +0000,,,,09/25/2021,,,,,"(41.917159, -87.67056)"
150688,ELEC,Greenway Parking Garage - Tesla Destination,60 W Kinzie,,Chicago,IL,60654,,312-527-1265  877-798-3752,E,,Public,,,,,,,24,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.889236,-87.630247,10/06/2022,01/18/2023 09:15:20 AM +0000,P,,,05/30/2019,,,,,"(41.889236, -87.630247)"
180622,ELEC,PEOPLES GAS EV13,4025 W Peterson Ave North Shop,,Chicago,IL,60646,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.98952,-87.730309,12/13/2023,12/12/2023 06:36:24 PM +0000,,,,01/27/2021,,,,,"(41.98952, -87.730309)"
192678,ELEC,CHI PUB SCHOOLS CVS,8542 S Chappel Ave,,Chicago,IL,60617,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.739279,-87.574212,12/13/2023,12/12/2023 06:50:13 PM +0000,,,,07/09/2021,,,,,"(41.739279, -87.574212)"
202789,ELEC,INTERPARK 217WASHINGTON 1,217 W Washington St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.883001,-87.634264,12/13/2023,12/12/2023 06:54:44 PM +0000,,,,12/18/2021,,,,,"(41.883001, -87.634264)"
262195,ELEC,Valmont Chicago,4647 W Polk St,,Chicago,IL,60644,,,E,,Private,Contact station for hours of availability,,,,,,1,,,AMPUP,https://ampup.io/,GPS,41.869976,-87.7419433,06/12/2023,06/12/2023 11:56:16 AM +0000,P,,,04/03/2023,,,,,"(41.869976, -87.7419433)"
186381,ELEC,ADVOCATE IL MASONIC 6,931 W Wellington Ave,,Chicago,IL,60657,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.936046,-87.652141,12/13/2023,12/12/2023 06:48:28 PM +0000,,,,03/19/2021,,,,,"(41.936046, -87.652141)"
114159,ELEC,"The Guesthouse Hotel, a Select Registry Property - Tesla Destination",4872 N Clark St,,Chicago,IL,60640,,773-564-9568  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.970814,-87.6677516,10/06/2022,01/18/2023 09:15:20 AM +0000,P,,,03/25/2015,,,,,"(41.970814, -87.6677516)"
