"","ID","Station Name","Street Address","Location","geometry"
"1",180625,"PEOPLES GAS CENTRAL EV2","4207 W 35th Pl Central Shop","(41.989265, -87.730213)",c(-87.730213, 41.989265)
"2",172397,"IRVINE  CO  OFC 71SW B2 02-03","71 S Wacker Dr","(41.880925, -87.636038)",c(-87.636038, 41.880925)
"3",205433,"Cityfront Place Parking Garage - Floor 2 Left","400 N. McClurg Court","(41.8891899, -87.6181012)",c(-87.6181012, 41.8891899)
"4",201403,"DRAKE TOWER DRAKE 1","172 E Walton Pl","(41.900228, -87.622669)",c(-87.622669, 41.900228)
"5",196870,"Paul Simon Chicago JCC","3348 S Kedzie Ave","(41.878114, -87.629798)",c(-87.629798, 41.878114)
"6",173548,"UNITED ORD LOT UNITED 3","5600 Bessie Coleman Dr","(41.981407, -87.888652)",c(-87.888652, 41.981407)
"7",147037,"SOLDIER FIELD STATION 02","1410 Museum Campus Dr","(41.863703, -87.616745)",c(-87.616745, 41.863703)
"8",156609,"ENGLEWOOD STATION 1","6933 W 69th St","(41.769096, -87.63568)",c(-87.63568, 41.769096)
"9",228130,"Whole Foods Market","1550 N Kingsbury St","(41.908771, -87.653054)",c(-87.653054, 41.908771)
"10",229279,"225 W WACKER 225 W WACKER","225 W Wacker Dr","(41.886307, -87.635075)",c(-87.635075, 41.886307)
"11",122296,"NEWCITY - Tesla Supercharger","1457 North Halstead Ave","(41.908065, -87.646836)",c(-87.646836, 41.908065)
"12",220479,"Cubs Blue Lot","1094 W Waveland","(41.949021, -87.6567262)",c(-87.6567262, 41.949021)
"13",151740,"The Maxwell","1100 S Canal St","(41.8689103, -87.640039)",c(-87.640039, 41.8689103)
"14",164585,"OZINGA CHINA TOWN","2242 S Lumber St","(41.851961, -87.64313)",c(-87.64313, 41.851961)
"15",202956,"INTERPARK 200 N CLARK 1","200 N Clark St","(41.885939, -87.631224)",c(-87.631224, 41.885939)
"16",171654,"3RD FLOOR GREENWAY-2","60 W Kinzie St","(41.889364, -87.630365)",c(-87.630365, 41.889364)
"17",237628,"Target - Tesla Supercharger","4433  South Pulaski Road","(41.813258, -87.72186)",c(-87.72186, 41.813258)
"18",121323,"One Bennett Park","456 E Illinois St","(41.891466, -87.616338)",c(-87.616338, 41.891466)
"19",163454,"PEOPLES GAS EV2","4341 W 35th Pl Logistics Support","(41.989409, -87.730374)",c(-87.730374, 41.989409)
