"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"1",414,"5838 West","Lake St","11/14/2006",7100,"East Bound: 3600 / West Bound: 3500","(41.887904, -87.771064)",c(-87.771064, 41.887904)
"2",176,"320 East","76th St","03/28/2006",8600,"East Bound: 3800 / West Bound: 4800","(41.756542, -87.617335)",c(-87.617335, 41.756542)
"3",1367,"1730 East","57th Dr","08/24/2006",53500,"East Bound: 27800 / West Bound: 25700","(41.792663, -87.582231)",c(-87.582231, 41.792663)
"4",316,"125 East","24th St","03/30/2006",700,"East Bound: 400 / West Bound: 300","(41.849302, -87.622658)",c(-87.622658, 41.849302)
"5",1294,"2924 East","130th St","08/29/2006",4200,"East Bound: 2300 / West Bound: 1900","(41.659177, -87.552112)",c(-87.552112, 41.659177)
"6",507,"1931 West","Lake St","10/19/2006",6900,"East Bound: 3400 / West Bound: 3500","(41.885023, -87.675556)",c(-87.675556, 41.885023)
"7",691,"6067 North","Kimball Ave","08/15/2006",15600,"North Bound: 7500 / South Bound: 8100","(41.992042, -87.714036)",c(-87.714036, 41.992042)
"8",960,"5116 North","Ashland Ave","08/22/2006",26700,"North Bound: 13100 / South Bound: 13600","(41.974889, -87.669587)",c(-87.669587, 41.974889)
"9",85,"6416 South","State St","05/02/2006",19300,"North Bound: 8800 / South Bound: 10500","(41.777072, -87.62526)",c(-87.62526, 41.777072)
"10",1116,"435 North","La Salle St","09/21/2006",32300,"North Bound: 17700 / South Bound: 14600","(41.890186, -87.632548)",c(-87.632548, 41.890186)
"11",871,"6891 West","Diversey Ave","08/16/2006",16600,"East Bound: 8600 / West Bound: 8000","(41.930851, -87.797915)",c(-87.797915, 41.930851)
"12",674,"4034 North","Ashland Ave","08/29/2006",33400,"North Bound: 15700 / South Bound: 17700","(41.955361, -87.669076)",c(-87.669076, 41.955361)
"13",1104,"626 North","Homan Ave","09/27/2006",10700,"North Bound: 5300 / South Bound: 5400","(41.892668, -87.71135)",c(-87.71135, 41.892668)
"14",397,"6559 South","Damen Ave","10/11/2006",21500,"North Bound: 11600 / South Bound: 9900","(41.773922, -87.673756)",c(-87.673756, 41.773922)
"15",160,"9150 South","Harbor Ave","05/04/2006",2500,"North Bound: 1100 / South Bound: 1400","(41.729262, -87.541841)",c(-87.541841, 41.729262)
"16",1286,"10621 South","Halsted St","08/31/2006",31800,"North Bound: 17400 / South Bound: 14400","(41.700823, -87.642645)",c(-87.642645, 41.700823)
"17",1260,"5834 South","Cottage Grove Ave","10/11/2006",25000,"North Bound: 14200 / South Bound: 10800","(41.788454, -87.606097)",c(-87.606097, 41.788454)
"18",819,"2641 West","Pershing Rd","09/26/2006",11000,"East Bound: 5800 / West Bound: 5200","(41.822852, -87.691118)",c(-87.691118, 41.822852)
"19",119,"6722 South","Halsted St","03/21/2006",13500,"North Bound: 7600 / South Bound: 5900","(41.771775, -87.644579)",c(-87.644579, 41.771775)
"20",518,"161 East","Chicago Ave","10/03/2006",18100,"East Bound: 9700 / West Bound: 8400","(41.89675, -87.623095)",c(-87.623095, 41.89675)
"21",1194,"3249 West","71st St","11/14/2006",15600,"East Bound: 7900 / West Bound: 7700","(41.764348, -87.70478)",c(-87.70478, 41.764348)
"22",379,"4624 South","Woodlawn Ave","05/02/2006",3000,"North Bound: 1500 / South Bound: 1500","(41.810689, -87.596855)",c(-87.596855, 41.810689)
"23",1337,"389 West","Washington St","09/26/2006",17000,"East Bound: 17000 / / Oneway East Bound","(41.883192, -87.638103)",c(-87.638103, 41.883192)
"24",914,"4550 West","Addison Ave","08/14/2006",23600,"East Bound: 11800 / West Bound: 11800","(41.946193, -87.741344)",c(-87.741344, 41.946193)
"25",979,"2034 North","Halsted St","10/16/2006",18700,"North Bound: 10200 / South Bound: 8500","(41.919237, -87.648548)",c(-87.648548, 41.919237)
"26",365,"7020 South","St Lawrence Ave","05/04/2006",5000,"North Bound: 3400 / South Bound: 1600","(41.766933, -87.610456)",c(-87.610456, 41.766933)
"27",673,"4453 North","Damen Ave","08/16/2006",13000,"North Bound: 6700 / South Bound: 6300","(41.963061, -87.679019)",c(-87.679019, 41.963061)
"28",1111,"223 West","Jackson Blvd","09/28/2006",11300,"East Bound: 11300 / / Oneway East Bound","(41.878111, -87.634405)",c(-87.634405, 41.878111)
"29",277,"944 West","55th Street","04/27/2006",33800,"East Bound: 16800 / West Bound: 17000","(41.794244, -87.648908)",c(-87.648908, 41.794244)
"30",961,"1525 West","Belmont Ave","10/16/2006",19200,"East Bound: 9800 / West Bound: 9400","(41.939715, -87.667324)",c(-87.667324, 41.939715)
"31",557,"650 West","Washington St","09/27/2006",19000,"East Bound: 19000 / / Oneway East Bound","(41.883162, -87.644644)",c(-87.644644, 41.883162)
"32",1170,"2126 South","Central Park Ave","09/14/2006",9100,"North Bound: 4400 / South Bound: 4700","(41.852621, -87.715027)",c(-87.715027, 41.852621)
"33",1034,"511 North","Laramie Ave","10/23/2006",20600,"North Bound: 9600 / South Bound: 11000","(41.889649, -87.755407)",c(-87.755407, 41.889649)
"34",506,"2335 West","Madison St","10/12/2006",13200,"East Bound: 5100 / West Bound: 8100","(41.881177, -87.6854)",c(-87.6854, 41.881177)
"35",259,"1623 West","43rd St","03/29/2006",6100,"East Bound: 3200 / West Bound: 2900","(41.815858, -87.666235)",c(-87.666235, 41.815858)
"36",1011,"855 West","Washington St","09/19/2006",9500,"East Bound: 9500 / / Oneway East Bound","(41.883107, -87.649602)",c(-87.649602, 41.883107)
"37",2,"1708 West","71st Street","03/09/2006",14600,"East Bound: 6900 / West Bound: 7700","(41.764877, -87.666635)",c(-87.666635, 41.764877)
"38",1275,"6240 North","Cicero Ave","08/08/2006",21900,"North Bound: 10800 / South Bound: 11100","(41.994184, -87.748337)",c(-87.748337, 41.994184)
"39",839,"173 West","Ohio St","09/21/2006",37700,"East Bound: 37700 / / Oneway East Bound","(41.892388, -87.634088)",c(-87.634088, 41.892388)
"40",598,"6214 South","Kedzie Ave","08/10/2006",24200,"North Bound: 13100 / South Bound: 11100","(41.780314, -87.703172)",c(-87.703172, 41.780314)
"41",715,"835 North","Clark St","09/20/2006",16500,"South Bound: 16500/ Oneway South Bound","(41.897747, -87.631275)",c(-87.631275, 41.897747)
"42",106,"7500 South","Ashland Ave","03/21/2006",26300,"North Bound: 12800 / South Bound: 13500","(41.757724, -87.663608)",c(-87.663608, 41.757724)
"43",1199,"4281 South","Archer Ave","08/10/2006",30600,"North Bound: 15800 / South Bound: 14800","(41.815505, -87.701939)",c(-87.701939, 41.815505)
"44",520,"206 West","Van Buren St","09/20/2006",10500,"West Bound: 10500/ Oneway West Bound","(41.876846, -87.633902)",c(-87.633902, 41.876846)
"45",384,"10535 South","Wentworth Ave","11/01/2006",8300,"North Bound: 3600 / South Bound: 4700","(41.70242, -87.628153)",c(-87.628153, 41.70242)
"46",1297,"2816 East","95th St","10/18/2006",13700,"East Bound: 7100 / West Bound: 6600","(41.722709, -87.55587)",c(-87.55587, 41.722709)
"47",442,"4856 West","Foster Ave","08/10/2006",27600,"East Bound: 12400 / West Bound: 15200","(41.9753, -87.750239)",c(-87.750239, 41.9753)
"48",1050,"555 West","Adams St","09/20/2006",11700,"West Bound: 11700/ Oneway West Bound","(41.879284, -87.641796)",c(-87.641796, 41.879284)
"49",193,"1165 East","83rd Street","03/28/2006",9000,"East Bound: 5300 / West Bound: 3700","(41.744086, -87.595315)",c(-87.595315, 41.744086)
"50",1308,"2223 West","107th St","09/06/2006",8200,"East Bound: 3500 / West Bound: 4700","(41.699096, -87.6777)",c(-87.6777, 41.699096)
"51",562,"4047 West","Fullerton Ave","08/16/2006",37900,"East Bound: 21300 / West Bound: 16600","(41.924462, -87.728691)",c(-87.728691, 41.924462)
"52",1250,"440 East","31st St","10/12/2006",16600,"East Bound: 8200 / West Bound: 8400","(41.838445, -87.615498)",c(-87.615498, 41.838445)
"53",625,"2032 North","Milwaukee Ave","10/23/2006",14600,"North Bound: 7600 / South Bound: 7000","(41.918295, -87.689798)",c(-87.689798, 41.918295)
"54",821,"4042 West","Cermak Rd","11/14/2006",23200,"East Bound: 12800 / West Bound: 10400","(41.851522, -87.726497)",c(-87.726497, 41.851522)
"55",1081,"300 South","Damen Ave","08/17/2006",21500,"North Bound: 10500 / South Bound: 11000","(41.877446, -87.676545)",c(-87.676545, 41.877446)
"56",136,"7234 South","Western Ave","03/23/2006",40500,"North Bound: 20300 / South Bound: 20200","(41.761813, -87.683164)",c(-87.683164, 41.761813)
